Property_ID,City,Locality,Property_Type,BHK,Bathrooms,Super_Builtup_Area_sqft,Carpet_Area_sqft,Floor,Total_Floors,Property_Age,Furnishing,Parking,Distance_to_Metro_km,Nearby_Schools,Nearby_Hospitals,Amenities_Score,House_Price_INR
1,Delhi,Dwarka,Villa,2,2,1071,961,23,26,21,Furnished,3,0.8,2,4,4,20542229
2,Mumbai,Bandra,Villa,6,7,1402,1177,25,39,8,Semi-Furnished,0,15.2,3,7,6,45381374
3,Bengaluru,Indiranagar,Builder Floor,3,2,879,726,27,33,11,Semi-Furnished,2,16.2,8,9,2,11406295
4,Delhi,Saket,Independent House,5,5,2864,2258,1,16,2,Semi-Furnished,2,19.7,4,2,7,68271439
5,Kolkata,Ballygunge,Apartment,3,3,3245,2607,21,24,29,Semi-Furnished,1,10.8,4,3,8,17787644
6,Chennai,Velachery,Villa,1,1,3866,2924,12,21,10,Furnished,0,4.4,10,6,4,56570278
7,Kolkata,Alipore,Independent House,6,7,1085,871,23,32,7,Unfurnished,3,18.0,7,6,4,15106762
8,Kolkata,Salt Lake,Independent House,1,1,3070,2400,13,33,21,Semi-Furnished,0,7.8,10,8,9,26270988
9,Mumbai,Andheri,Villa,5,5,3648,3203,9,23,3,Furnished,1,9.2,5,9,3,127304035
10,Delhi,Saket,Independent House,5,5,1126,928,17,34,5,Semi-Furnished,0,12.1,8,1,2,23852123
11,Chennai,Velachery,Apartment,5,4,850,761,2,37,26,Semi-Furnished,1,2.7,8,9,3,6545779
12,Ahmedabad,Bopal,Builder Floor,6,6,3420,2778,20,32,21,Unfurnished,3,18.0,8,2,4,29285915
13,Delhi,Saket,Apartment,5,5,2910,2310,22,24,2,Furnished,1,1.5,1,6,2,48014072
14,Hyderabad,Kondapur,Villa,2,2,3462,3244,18,34,18,Unfurnished,1,15.7,7,4,2,39359887
15,Ahmedabad,Satellite,Apartment,4,3,3258,2869,3,7,20,Unfurnished,3,14.6,2,4,4,19629911
16,Kolkata,New Town,Apartment,3,4,1523,1408,14,40,2,Unfurnished,0,1.2,9,1,2,11298151
17,Bengaluru,Electronic City,Apartment,2,3,4196,3196,0,25,12,Furnished,2,18.5,8,5,7,43645966
18,Kolkata,New Town,Apartment,2,1,2872,2576,23,34,1,Unfurnished,0,1.2,8,9,9,22302688
19,Mumbai,Andheri,Independent House,1,1,3265,3011,3,40,12,Semi-Furnished,1,11.7,1,10,2,54625663
20,Pune,Baner,Apartment,6,6,1477,1186,21,31,4,Furnished,3,6.5,2,1,8,18967058
21,Delhi,Dwarka,Apartment,5,5,1042,975,2,18,28,Furnished,2,5.8,8,9,5,12665807
22,Mumbai,Powai,Builder Floor,1,1,1583,1223,23,28,3,Furnished,2,5.8,4,6,4,28366901
23,Chennai,OMR,Apartment,1,1,3098,2585,1,2,8,Furnished,2,15.5,5,3,8,26619665
24,Ahmedabad,SG Highway,Apartment,6,6,2734,2070,18,36,11,Unfurnished,1,8.7,1,5,6,22366673
25,Pune,Kharadi,Villa,6,5,1948,1764,27,34,28,Semi-Furnished,1,18.5,4,3,3,27183582
26,Mumbai,Bandra,Villa,3,4,3785,3345,25,29,23,Semi-Furnished,2,3.4,2,7,1,81130502
27,Hyderabad,Madhapur,Independent House,4,4,1750,1599,7,22,27,Unfurnished,0,13.3,7,6,5,17835819
28,Chennai,Anna Nagar,Villa,4,4,4347,3284,8,20,28,Furnished,2,1.0,10,7,6,64882609
29,Pune,Wakad,Villa,5,4,2077,1931,8,11,6,Semi-Furnished,3,0.2,9,4,6,41728262
30,Delhi,Saket,Villa,6,5,3448,3206,9,31,16,Unfurnished,3,6.7,5,9,3,76178819
31,Ahmedabad,Navrangpura,Villa,2,2,2163,1859,9,19,0,Semi-Furnished,1,8.7,10,10,6,30559303
32,Kolkata,Alipore,Villa,5,6,3751,3489,23,29,25,Unfurnished,0,5.8,10,6,2,45726485
33,Chennai,Velachery,Independent House,2,1,689,550,19,22,15,Semi-Furnished,3,8.4,10,4,7,8069358
34,Ahmedabad,Bopal,Apartment,6,5,4156,3741,28,30,24,Furnished,3,4.5,9,8,1,32099903
35,Hyderabad,Gachibowli,Apartment,4,4,4391,3956,19,36,14,Furnished,3,16.6,9,8,3,46283988
36,Kolkata,Alipore,Apartment,2,2,3636,3292,20,28,15,Semi-Furnished,2,8.9,5,4,5,21672173
37,Pune,Hinjewadi,Apartment,2,3,3342,2608,2,29,6,Unfurnished,3,6.8,8,7,1,27804114
38,Ahmedabad,Navrangpura,Builder Floor,5,4,4009,3712,12,28,18,Furnished,0,18.9,5,7,7,36533428
39,Hyderabad,Kukatpally,Apartment,4,5,618,511,21,34,21,Unfurnished,1,16.8,3,10,9,4749334
40,Ahmedabad,SG Highway,Apartment,4,4,4050,3411,8,33,1,Semi-Furnished,2,4.4,6,6,7,38989955
41,Ahmedabad,Satellite,Independent House,4,3,3568,3060,11,19,30,Unfurnished,0,15.7,1,1,4,30255169
42,Mumbai,Bandra,Apartment,4,3,2810,2640,22,31,14,Semi-Furnished,2,3.5,10,2,3,42233654
43,Delhi,Dwarka,Builder Floor,5,6,2124,1992,2,40,6,Furnished,1,2.2,5,10,2,39196851
44,Mumbai,Powai,Apartment,6,6,782,665,0,27,10,Semi-Furnished,3,2.3,6,8,3,13933582
45,Bengaluru,HSR Layout,Villa,5,6,2404,2012,18,27,23,Unfurnished,2,17.1,2,5,8,40319520
46,Kolkata,Alipore,Apartment,4,4,1244,1054,25,30,11,Unfurnished,2,5.7,10,5,9,9309379
47,Hyderabad,Gachibowli,Apartment,4,5,2774,2501,15,36,22,Unfurnished,3,9.1,1,2,5,21875184
48,Ahmedabad,Bopal,Apartment,5,5,2438,2098,13,37,11,Semi-Furnished,2,7.2,8,5,5,22359694
49,Hyderabad,Gachibowli,Villa,3,2,3542,3036,22,28,24,Furnished,1,4.5,8,5,10,57430523
50,Chennai,Adyar,Independent House,3,3,1978,1554,22,40,0,Furnished,1,5.6,1,9,5,30012085
51,Bengaluru,Electronic City,Apartment,1,1,2422,2048,5,9,10,Semi-Furnished,2,18.8,8,2,2,22082079
52,Kolkata,Salt Lake,Apartment,6,5,1121,874,30,35,18,Furnished,0,19.9,2,9,7,9444006
53,Hyderabad,Kukatpally,Apartment,4,4,4023,3490,9,28,13,Semi-Furnished,0,12.3,2,4,4,36590870
54,Delhi,Rohini,Apartment,5,4,1141,856,22,38,14,Unfurnished,2,0.8,5,5,8,15049442
55,Hyderabad,Kondapur,Independent House,6,6,2241,1732,20,25,7,Semi-Furnished,2,16.6,2,1,3,40558071
56,Chennai,OMR,Apartment,6,6,3366,2795,16,34,8,Furnished,3,8.9,10,1,7,43990004
57,Pune,Baner,Apartment,2,1,3632,3212,18,20,8,Furnished,1,9.5,8,5,3,32360799
58,Ahmedabad,Navrangpura,Builder Floor,4,4,2172,1773,3,14,21,Furnished,2,8.4,8,5,7,20125270
59,Mumbai,Borivali,Apartment,3,3,974,919,27,36,12,Unfurnished,0,13.2,9,8,7,13404223
60,Hyderabad,Kondapur,Villa,4,5,3612,2746,17,22,8,Furnished,2,8.9,8,2,1,74969276
61,Hyderabad,Madhapur,Apartment,1,2,881,700,29,31,26,Furnished,3,19.0,3,8,5,5776321
62,Chennai,OMR,Independent House,4,4,2370,2038,6,39,12,Furnished,1,17.3,5,7,6,34968924
63,Chennai,Adyar,Apartment,3,4,4044,3153,15,27,17,Semi-Furnished,2,11.1,9,7,8,31168331
64,Hyderabad,Madhapur,Apartment,2,3,678,551,22,35,15,Unfurnished,3,19.8,3,8,1,4596701
65,Pune,Hinjewadi,Independent House,4,3,2654,2473,23,28,0,Semi-Furnished,3,17.4,3,2,8,46433820
